Status,Garage,Bathrooms,Neighborhood,Stratum,Locality,Bedrooms,Country,Built Area,Business Type,Floor,Land Area,City,Property Type,State,Administration Fee,Year Built,URL,Title,Price,Extraction Date,Error,Section
Usado,1,2,Santa Bárbara,6,Usaquén,2,Colombia,86 m²,Venta,5,86 m²,Bogotá D.C.,Apartamento,Cundinamarca,$600.000,1989,https://bogotarealestate.com.co/apartamento-venta-santa-barbara-bogota-dc/9606822,APARTAMENTO EN VENTA EN SANTA BÁRBARA CENTRAL,$541.800.000COP,2025-11-09 11:02,,Sales
Usado,1,2,Britalia,3,Suba,3,Colombia,72 m²,Venta,2,72 m²,Bogotá D.C.,Apartamento,Cundinamarca,$300.288,2010,https://bogotarealestate.com.co/apartamento-venta-britalia-bogota-dc/9606627,APARTAMENTO EN VENTA EN BRITALIA – CONJUNTO RINC…,$383.000.000COP,2025-11-09 11:02,,Sales
Usado,2,3,Villas Del Mediterraneo,4,Usaquén,3,Colombia,96 m²,Venta,1,96 m²,Bogotá D.C.,Apartamento,Cundinamarca,$440.000,1991,https://bogotarealestate.com.co/apartamento-venta-villas-del-mediterraneo-bogota-dc/9585965,APARTAMENTO EN VENTA EN VILLAS DEL MEDITERRÁNEO,$444.000.000COP,2025-11-09 11:02,,Sales
Usado,1,2,Cedritos,4,Usaquén,3,Colombia,91 m²,Venta,4,91 m²,Bogotá D.C.,Apartamento,Cundinamarca,$541.000,1995,https://bogotarealestate.com.co/apartamento-venta-cedritos-bogota-dc/9585950,APARTAMENTO EN VENTA EN CEDRITOS – CONJUNTO TORR…,$460.000.000COP,2025-11-09 11:02,,Sales
Usado,1,2,Cedritos,4,Usaquén,3,Colombia,76 m²,Venta,3,76 m²,Bogotá D.C.,Apartamento,Cundinamarca,N/A,1990,https://bogotarealestate.com.co/apartamento-venta-cedritos-bogota-dc/9585894,APARTAMENTO EN VENTA EN CEDRITOS – CONJUNTO LOS…,$460.000.000COP,2025-11-09 11:03,,Sales
Usado,2,2,San Patricio,6,Usaquén,2,Colombia,82 . .67 m² y 40 m² de terraza cubierta,Venta,2,122 m²,Bogotá D.C.,Apartamento,Cundinamarca,$600.000,10,https://bogotarealestate.com.co/apartamento-venta-san-patricio-bogota-dc/9581058,VENTA APARTAMENTO SAN PATRICIO,$1.115.000.000COP,2025-11-09 11:03,,Sales
Usado,1,2,Cedritos,4,Usaquén,N/A,Colombia,80.54 m²,Venta,3,80.54 m²,Bogotá D.C.,Apartamento,Cundinamarca,$416.000,1990,https://bogotarealestate.com.co/apartamento-venta-cedritos-bogota-dc/9581042,VENTA APARTAMENTO CEDRITOS,$370.000.000COP,2025-11-09 11:03,,Sales
Usado,1,3,Belmira,4,Usaquén,3,Colombia,156.09 m²,Venta,4,156 m²,Bogotá D.C.,Apartamento,Cundinamarca,$650.000,1986,https://bogotarealestate.com.co/apartamento-venta-belmira-bogota-dc/9581030,VENTA APARTAMENTO BELMIRA - CEDRITOS,$400.000.000COP,2025-11-09 11:03,,Sales
Usado,2,2,El Contador,5,Usaquén,2,Colombia,62.45 m²,Venta,3,62.45 m²,Bogotá D.C.,Apartamento,Cundinamarca,$750.000,2021,https://bogotarealestate.com.co/apartamento-venta-el-contador-bogota-dc/9575203,"APARTAMENTO EN VENTA – EDIFICIO COUNTRY 134, NOR…",$585.500.000COP,2025-11-09 11:03,,Sales
Nuevo,N/A,2,Centro,3,N/A,3,Colombia,60 m²,Venta,7,60 m²,Tunja,Apartamento,Boyacá,$150.000,2025,https://bogotarealestate.com.co/apartamento-venta-centro-tunja/9571699,VENDO APARTAMENTO EN TUNJA,$210.000.000COP,2025-11-09 11:03,,Sales
Usado,1,3,Cedro Bolivar,4,Usaquén,3,Colombia,98 m²,Venta,1,98 m²,Bogotá D.C.,Casa,Cundinamarca,$424.000,2012,https://bogotarealestate.com.co/casa-venta-cedro-bolivar-bogota-dc/9553842,CASA EN VENTA EN CEDRO BOLIVAR – CONJUNTO LARA…,$525.000.000COP,2025-11-09 11:03,,Sales
Usado,N/A,2,Las Orquideas,3,Usaquén,3,Colombia,56 m²,Venta,3,56 m²,Bogotá D.C.,Apartamento,Cundinamarca,$226.180,1992,https://bogotarealestate.com.co/apartamento-venta-las-orquideas-bogota-dc/9553794,APARTAMENTO EN VENTA EN LAS ORQUÍDEAS – NORTE DE…,$268.400.000COP,2025-11-09 11:03,,Sales
